,Precision,Recall,F1,Weighted F1
2ndMill-1stHalf,1.0,0.7933862433862433,0.8797815674438467,0.9495462382060158
2ndMill-2ndHalf,0.9741961169668565,0.9143926209537069,0.9431130869195588,
Hellenistic onwards,0.9087058945613256,0.856438127090301,0.881312840120027,
Neo-Assyrian; Neo-Babylonian; Achaemenid,0.9485481516795364,0.9819643664747822,0.9649180745805239,
