,Precision,Recall,F1,Weighted F1
Assyria,0.8536318221446028,0.9894555271013097,0.9165235395933881,0.8513546945912047
Babylonia,0.9670006011663785,0.8120933521923621,0.8825970153250534,
West,0.8669187675070027,0.1607594936708861,0.2707745249963384,
