,Precision,Recall,F1,Weighted F1
Assyria,0.8527457421839705,0.9955510789958734,0.9186122609704791,0.8509531246851413
Babylonia,0.9827548750137298,0.8219967809588841,0.894981798497825,
West,0.9428632478632479,0.12405063291139237,0.21852617857126475,
