,Precision,Recall,F1,Weighted F1
Assyria,0.8877125405781092,0.9856647691128254,0.9341114143502607,0.8848226057510397
Babylonia,0.9534520668202097,0.8981319806857535,0.9248047910791112,
West,0.881757070419062,0.26329113924050634,0.40385655687354716,
