,Precision,Recall,F1,Weighted F1
2ndMill-1stHalf,1.0,0.746031746031746,0.8500714551736092,0.9430409068597039
2ndMill-2ndHalf,0.9499433776361157,0.8966411416637662,0.9220520561233411,
Hellenistic onwards,0.9316736768451133,0.8520544672718586,0.8893742899508534,
Neo-Assyrian; Neo-Babylonian; Achaemenid,0.9429311035522467,0.9806293655535144,0.9613771971385017,
