,Precision,Recall,F1,Weighted F1
2ndMill-1stHalf,0.9954545454545455,0.85978835978836,0.9208502993452579,0.9568740581549399
2ndMill-2ndHalf,0.9705386177006685,0.9303271841280891,0.9497496036023184,
Hellenistic onwards,0.9574897533089933,0.833361204013378,0.890703748578575,
Neo-Assyrian; Neo-Babylonian; Achaemenid,0.9530838626414788,0.9888118994310473,0.9705952234026963,
