,Precision,Recall,F1,Weighted F1
Archival,0.9666851838871761,0.9810177437540798,0.9737904819650127,0.9489084277212909
Letter,0.938807783996624,0.9552884615384617,0.9468933101778617,
Literary,0.8,0.18272727272727268,0.2899267399267399,
Royal/Monumental,0.9420360396845899,0.9250922151038633,0.9332480370442052,
Scientific,0.9417673309010155,0.9424065057495079,0.9419470745468276,
