,Precision,Recall,F1,Weighted F1
2ndMill-1stHalf,1.0,0.8412698412698413,0.911372939811376,0.9560467970006196
2ndMill-2ndHalf,0.9805709603405959,0.9196693351896972,0.9489979215608919,
Hellenistic onwards,0.9448639261967762,0.8377687529861442,0.8875505654648899,
Neo-Assyrian; Neo-Babylonian; Achaemenid,0.9510267974799538,0.9908155175012983,0.970488721449281,
